company_num,company_name,combined_risk_tier,n_filing_events,filing_narrative,combined_text
655410,JMG (EHS) INVESTMENTS LIMITED,LOW_CONCERN,11,"JMG (EHS) INVESTMENTS LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; registered office change; 2020: annual return without accounts; director or secretary change; 2021: annual return; other filing; annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return.","JMG (EHS) INVESTMENTS LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; registered office change; 2020: annual return without accounts; director or secretary change; 2021: annual return; other filing; annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return. JMG (EHS) INVESTMENTS LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; registered office change; 2020: annual return without accounts; director or secretary change; 2021: annual return; other filing; annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return. Company: JMG (EHS) INVESTMENTS LIMITED. County: Monaghan. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.4 years."
656720,BARGAINPROP VENTURES LIMITED,LOW_CONCERN,9,"BARGAINPROP VENTURES LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; registered office change; 2020: annual return without accounts; 2021: annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return; 2026: annual return.","BARGAINPROP VENTURES LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; registered office change; 2020: annual return without accounts; 2021: annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return; 2026: annual return. BARGAINPROP VENTURES LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; registered office change; 2020: annual return without accounts; 2021: annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return; 2026: annual return. Company: BARGAINPROP VENTURES LIMITED. County: Dublin. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.3 years."
657087,GRAFTON TALENT LIMITED,LOW_CONCERN,21,"GRAFTON TALENT LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 5 director or secretary changes, 2 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2022: registered office change; 2023: other filing; annual return; annual return; annual return; annual return; 2024: annual return; other filing; other filing; other filing; director or secretary change; registered office change; other filing; director or secretary change; director or secretary change; 2025: annual return; other filing; director or secretary change; 2026: director or secretary change; annual return.","GRAFTON TALENT LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 5 director or secretary changes, 2 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2022: registered office change; 2023: other filing; annual return; annual return; annual return; annual return; 2024: annual return; other filing; other filing; other filing; director or secretary change; registered office change; other filing; director or secretary change; director or secretary change; 2025: annual return; other filing; director or secretary change; 2026: director or secretary change; annual return. GRAFTON TALENT LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 5 director or secretary changes, 2 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2022: registered office change; 2023: other filing; annual return; annual return; annual return; annual return; 2024: annual return; other filing; other filing; other filing; director or secretary change; registered office change; other filing; director or secretary change; director or secretary change; 2025: annual return; other filing; director or secretary change; 2026: director or secretary change; annual return. Company: GRAFTON TALENT LIMITED. County: Dublin. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.3 years."
658234,MSS BUILDING SERVICES HOLDINGS LIMITED,LOW_CONCERN,12,"MSS BUILDING SERVICES HOLDINGS LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 3 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; 2021: registered office change; annual return; director or secretary change; annual return; 2022: annual return; 2023: director or secretary change; annual return; 2024: annual return; 2025: annual return; director or secretary change.","MSS BUILDING SERVICES HOLDINGS LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 3 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; 2021: registered office change; annual return; director or secretary change; annual return; 2022: annual return; 2023: director or secretary change; annual return; 2024: annual return; 2025: annual return; director or secretary change. MSS BUILDING SERVICES HOLDINGS LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 3 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; 2021: registered office change; annual return; director or secretary change; annual return; 2022: annual return; 2023: director or secretary change; annual return; 2024: annual return; 2025: annual return; director or secretary change. Company: MSS BUILDING SERVICES HOLDINGS LIMITED. County: Dublin. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.2 years."
658283,BRENTWOOD ESTATES LIMITED,DISSOLUTION_RISK,21,"BRENTWOOD ESTATES LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 2 director or secretary changes, 2 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; director or secretary change; 2020: annual return without accounts; 2021: annual return; special resolution; capital reorganisation; other filing; other filing; 2022: annual return; 2023: capital reorganisation; other filing; other filing; annual return; 2024: registered office change; director or secretary change; annual return; 2025: other filing; annual return; registered office change; annual return; other filing.","BRENTWOOD ESTATES LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 2 director or secretary changes, 2 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; director or secretary change; 2020: annual return without accounts; 2021: annual return; special resolution; capital reorganisation; other filing; other filing; 2022: annual return; 2023: capital reorganisation; other filing; other filing; annual return; 2024: registered office change; director or secretary change; annual return; 2025: other filing; annual return; registered office change; annual return; other filing. BRENTWOOD ESTATES LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 2 director or secretary changes, 2 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; director or secretary change; 2020: annual return without accounts; 2021: annual return; special resolution; capital reorganisation; other filing; other filing; 2022: annual return; 2023: capital reorganisation; other filing; other filing; annual return; 2024: registered office change; director or secretary change; annual return; 2025: other filing; annual return; registered office change; annual return; other filing. Company: BRENTWOOD ESTATES LIMITED. County: Dublin. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.2 years."
658370,BLUEHUME LIMITED,BEHAVIORAL_ANOMALY,19,"BLUEHUME LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 4 director or secretary changes, 4 charge registereds, 2 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; registered office change; director or secretary change; 2020: other filing; annual return without accounts; director or secretary change; 2021: charge registered; annual return; director or secretary change; 2022: director or secretary change; annual return; registered office change; 2023: annual return; charge registered; charge registered; 2024: charge registered; annual return; 2025: annual return; 2026: annual return.","BLUEHUME LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 4 director or secretary changes, 4 charge registereds, 2 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; registered office change; director or secretary change; 2020: other filing; annual return without accounts; director or secretary change; 2021: charge registered; annual return; director or secretary change; 2022: director or secretary change; annual return; registered office change; 2023: annual return; charge registered; charge registered; 2024: charge registered; annual return; 2025: annual return; 2026: annual return. BLUEHUME LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 4 director or secretary changes, 4 charge registereds, 2 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; registered office change; director or secretary change; 2020: other filing; annual return without accounts; director or secretary change; 2021: charge registered; annual return; director or secretary change; 2022: director or secretary change; annual return; registered office change; 2023: annual return; charge registered; charge registered; 2024: charge registered; annual return; 2025: annual return; 2026: annual return. Company: BLUEHUME LIMITED. County: Dublin. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.2 years."
658813,ALMAD STAR LIMITED,LOW_CONCERN,13,"ALMAD STAR LIMITED has filed with the registry since 2019. Across its history: 8 annual returns, 1 director or secretary changes, 3 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; registered office change; director or secretary change; 2021: annual return; 2022: registered office change; annual return; registered office change; 2023: annual return; annual return; annual return; 2024: annual return; 2025: annual return.","ALMAD STAR LIMITED has filed with the registry since 2019. Across its history: 8 annual returns, 1 director or secretary changes, 3 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; registered office change; director or secretary change; 2021: annual return; 2022: registered office change; annual return; registered office change; 2023: annual return; annual return; annual return; 2024: annual return; 2025: annual return. ALMAD STAR LIMITED has filed with the registry since 2019. Across its history: 8 annual returns, 1 director or secretary changes, 3 registered office changes. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; registered office change; director or secretary change; 2021: annual return; 2022: registered office change; annual return; registered office change; 2023: annual return; annual return; annual return; 2024: annual return; 2025: annual return. Company: ALMAD STAR LIMITED. County: Dublin. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.2 years."
659855,LOTUS SOLAS INTERNATIONAL LIMITED,LOW_CONCERN,9,"LOTUS SOLAS INTERNATIONAL LIMITED has filed with the registry since 2019. Across its history: 6 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; director or secretary change; registered office change; 2021: annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return.","LOTUS SOLAS INTERNATIONAL LIMITED has filed with the registry since 2019. Across its history: 6 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; director or secretary change; registered office change; 2021: annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return. LOTUS SOLAS INTERNATIONAL LIMITED has filed with the registry since 2019. Across its history: 6 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; director or secretary change; registered office change; 2021: annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return. Company: LOTUS SOLAS INTERNATIONAL LIMITED. County: Louth. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.2 years."
662043,ARCHAEOLOGY & BUILT HERITAGE LIMITED,LOW_CONCERN,10,"ARCHAEOLOGY & BUILT HERITAGE LIMITED has filed with the registry since 2019. Across its history: 6 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; other filing; 2021: director or secretary change; annual return; 2022: annual return; 2023: annual return; registered office change; 2024: annual return; 2025: annual return.","ARCHAEOLOGY & BUILT HERITAGE LIMITED has filed with the registry since 2019. Across its history: 6 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; other filing; 2021: director or secretary change; annual return; 2022: annual return; 2023: annual return; registered office change; 2024: annual return; 2025: annual return. ARCHAEOLOGY & BUILT HERITAGE LIMITED has filed with the registry since 2019. Across its history: 6 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; other filing; 2021: director or secretary change; annual return; 2022: annual return; 2023: annual return; registered office change; 2024: annual return; 2025: annual return. Company: ARCHAEOLOGY & BUILT HERITAGE LIMITED. County: Dublin. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.1 years."
663548,BRADLEY BUCKLEY PHARMA FACILITY DELIVERY LIMITED,LOW_CONCERN,10,"BRADLEY BUCKLEY PHARMA FACILITY DELIVERY LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; 2021: annual return; registered office change; director or secretary change; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return; 2026: annual return.","BRADLEY BUCKLEY PHARMA FACILITY DELIVERY LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; 2021: annual return; registered office change; director or secretary change; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return; 2026: annual return. BRADLEY BUCKLEY PHARMA FACILITY DELIVERY LIMITED has filed with the registry since 2019. Across its history: 7 annual returns, 1 director or secretary changes, 1 registered office change. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; 2021: annual return; registered office change; director or secretary change; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return; 2026: annual return. Company: BRADLEY BUCKLEY PHARMA FACILITY DELIVERY LIMITED. County: Tipperary. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.0 years."
663860,LAJG SERVICES LIMITED,LOW_CONCERN,7,LAJG SERVICES LIMITED has filed with the registry since 2019. Across its history: 6 annual returns. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; 2021: annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return.,LAJG SERVICES LIMITED has filed with the registry since 2019. Across its history: 6 annual returns. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; 2021: annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return. LAJG SERVICES LIMITED has filed with the registry since 2019. Across its history: 6 annual returns. In the 8 years to 2024 the filing sequence was: 2019: other filing; 2020: annual return without accounts; 2021: annual return; 2022: annual return; 2023: annual return; 2024: annual return; 2025: annual return. Company: LAJG SERVICES LIMITED. County: Wicklow. Legal form: LTD - Private Company Limited by Shares. Age at observation: 5.0 years.
