company_num,company_name,obs_date,comp_dissolved_date,company_status_modelled,label_modelled,model_risk_score,model_predicted_tier,company_status_now,actually_dissolved_now,outcome_agreement,company_age_years,nace_section_label,split
480230,KG MEDICAL CONSULTING LIMITED,2022-01-31,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,12.01,Extraterritorial Organisations,train
494570,CAPPOQUIN RED BRIDGE COMPANY COMPANY LIMITED BY GUARANTEE,2022-12-31,2024-11-18,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,11.91,Extraterritorial Organisations,train
489499,ILFC AIRCRAFT 33A-469 LIMITED,2022-12-31,,Dissolved PostMerger,1.0,1.0,CRITICAL,Dissolved PostMerger,1,consistent,12.26,Extraterritorial Organisations,train
489572,FG GOLD LIMITED,2022-08-31,2024-02-19,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,11.92,Extraterritorial Organisations,train
494010,ZIPIT AA (LOUGH KEY) LIMITED,2022-03-31,2023-09-09,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,11.19,Extraterritorial Organisations,train
504445,PSMWARE LIMITED,2022-10-31,2023-10-14,Dissolved,1.0,0.5955,MODERATE,Dissolved,1,consistent,11.07,Extraterritorial Organisations,train
508999,DARCEEY SPORTS EQUIPMENT LIMITED,2022-01-31,2023-04-08,Dissolved,1.0,0.75,HIGH,Dissolved,1,consistent,10.0,Extraterritorial Organisations,train
089234,JETFORM CONSTRUCTION LIMITED,2022-08-31,2024-02-05,Dissolved,1.0,0.5111,MODERATE,Dissolved,1,consistent,40.3,Extraterritorial Organisations,train
097737,LINCO POULTRY SERVICES (IRELAND) LIMITED,2022-09-30,,Liquidation,1.0,0.4593,MODERATE,Liquidation,1,consistent,38.93,Extraterritorial Organisations,train
103423,W.K.S. (ELECTRICAL CONTRACTORS) LIMITED,2022-10-31,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,38.09,Extraterritorial Organisations,train
345309,HEALTH VISION LIMITED,2022-06-30,2023-07-22,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,20.97,Extraterritorial Organisations,train
354438,VALCO ENGINEERING LIMITED,2022-04-30,,Liquidation,1.0,0.5955,MODERATE,Liquidation,1,consistent,20.13,Extraterritorial Organisations,train
359265,WOODTOWN PROPERTIES LIMITED,2022-12-31,2024-07-01,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,20.46,Extraterritorial Organisations,train
369061,PORSPAN IRELAND LIMITED,2022-12-31,2024-12-30,Dissolved,1.0,0.9674,CRITICAL,Dissolved,1,consistent,19.77,Extraterritorial Organisations,train
550962,COACH HOUSE PROPERTIES LIMITED,2022-12-31,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,8.22,Extraterritorial Organisations,train
570922,CHANEL MANOR OWNERS MANAGEMENT COMPANY LIMITED BY GUARANTEE,2022-12-31,2024-04-29,Dissolved,1.0,0.9167,CRITICAL,Dissolved,1,consistent,7.17,Unknown,train
558589,MD MECHANICAL SERVICES (PLUMBING) LIMITED,2022-02-28,,Liquidation,1.0,0.9747,CRITICAL,Liquidation,1,consistent,6.98,Extraterritorial Organisations,train
559345,EMMALISA LIMITED,2022-06-30,,Liquidation,1.0,0.8788,CRITICAL,Liquidation,1,consistent,7.27,Extraterritorial Organisations,train
562752,BREWS HILL BEAUTY LIMITED,2022-06-30,2024-02-05,Dissolved,1.0,0.5365,MODERATE,Dissolved,1,consistent,7.07,Unknown,train
565828,YOUNG'S DIY & TIMBER CENTRE LIMITED,2022-12-31,2024-07-10,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,7.42,Unknown,train
570361,WHITEGATE RETAIL SALES LIMITED,2022-10-31,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,7.03,Unknown,train
571885,YELLOWCIRCLE SYSTEMS LIMITED,2022-12-31,2024-11-11,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,7.12,Unknown,train
576401,QVI EUROPE LIMITED,2022-12-31,2024-09-02,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,6.91,Unknown,train
303349,CROCK OF GOLD STUDIO LIMITED,2022-02-28,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,22.97,Extraterritorial Organisations,train
308357,OLVI OILS LIMITED,2022-12-31,2023-12-20,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,23.54,Extraterritorial Organisations,train
316106,VBP LIMITED,2022-06-30,,Liquidation,1.0,0.9747,CRITICAL,Liquidation,1,consistent,22.58,Extraterritorial Organisations,train
337275,G O'MAHONY HOLDINGS LIMITED,2022-03-31,,Liquidation,1.0,0.9583,CRITICAL,Liquidation,1,consistent,21.22,Extraterritorial Organisations,train
587091,WILD ATLANTIC HOSPITALITY LIMITED,2022-07-31,2023-07-15,Dissolved,1.0,0.9167,CRITICAL,Dissolved,1,consistent,5.99,Unknown,train
588492,CONSTRUCTION & MAINTENANCE SOLUTIONS LIMITED,2022-08-31,2024-07-01,Dissolved,1.0,0.5365,MODERATE,Dissolved,1,consistent,6.0,Unknown,train
600219,FRANCIS SOAP SHOP LIMITED,2022-12-31,2024-10-07,Dissolved,1.0,0.5365,MODERATE,Dissolved,1,consistent,5.81,Unknown,train
602609,ALPHEN BLUE LIMITED,2022-12-31,2024-12-23,Dissolved,1.0,0.9674,CRITICAL,Dissolved,1,consistent,5.7,Unknown,train
602747,HOWLITEVALE LIMITED,2022-06-30,2023-10-28,Dissolved,1.0,0.9674,CRITICAL,Dissolved,1,consistent,5.19,Unknown,train
603632,ROWLEY AVIATION LEASING LIMITED,2022-12-31,,Dissolved PostMerger,1.0,1.0,CRITICAL,Dissolved PostMerger,1,consistent,5.66,Unknown,train
606831,AEI IRISH HOLDINGS LIMITED,2022-12-31,,Dissolved PostMerger,1.0,1.0,CRITICAL,Dissolved PostMerger,1,consistent,5.51,Unknown,train
607048,GREYMASS LIMITED,2022-12-31,2024-12-16,Dissolved,1.0,0.9747,CRITICAL,Dissolved,1,consistent,5.49,Unknown,train
612561,CORESTONE INVESTOR COMPANY 2 LIMITED,2022-12-31,2024-10-14,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,5.25,Unknown,train
612838,MENA CENTRE LIMITED,2022-09-30,2024-08-20,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,4.99,Unknown,train
054703,HOOPER & BYRNE FINANCE LIMITED,2022-03-31,2023-11-19,Dissolved,1.0,0.4593,MODERATE,Dissolved,1,consistent,46.0,Extraterritorial Organisations,train
394398,FARRDURRAGH LIMITED,2022-11-30,2024-08-06,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,18.0,Extraterritorial Organisations,train
616826,STREAMCREST LIMITED,2022-12-31,2024-06-10,Dissolved,1.0,0.9643,CRITICAL,Dissolved,1,consistent,5.07,Unknown,train
618955,GLAM LIFE EVENTS LIMITED,2022-01-16,2022-12-19,Dissolved,1.0,0.9674,CRITICAL,Dissolved,1,consistent,4.0,Unknown,train
619874,NI MHAOILIN CONSULTING LIMITED,2022-12-31,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,4.92,Unknown,train
620095,YOUR OTHER LEFT LIMITED,2022-12-31,2024-06-10,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,4.91,Unknown,train
625047,FINNIHY LIMITED,2022-06-30,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,4.2,Unknown,train
628158,EROL BENT LIMITED,2022-06-30,2024-06-10,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,4.06,Unknown,train
628608,SYNDERESIS NOW LIMITED,2022-12-15,2024-09-16,Dissolved,1.0,0.5955,MODERATE,Dissolved,1,consistent,4.5,Unknown,train
629142,VITA ITALIANA LIMITED,2022-10-31,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,4.35,Unknown,train
629930,BIJU BLANC LIMITED,2022-12-31,2024-03-19,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,4.49,Unknown,train
643784,ASHTON COURT APARTMENTS OWNERS MANAGEMENT COMPANY LIMITED BY GUARANTEE,2022-12-31,2024-03-19,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,3.87,Unknown,train
642154,ANU LEARNING LIMITED,2022-01-31,2023-07-08,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,3.01,Unknown,train
650348,POLISH LEASE PRIME 1 DESIGNATED ACTIVITY COMPANY,2022-12-31,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,3.61,Unknown,train
650335,STENTAI LIMITED,2022-04-30,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,2.94,Unknown,train
650567,BGS SECURITY LIMITED,2022-06-30,,Liquidation,1.0,0.5955,MODERATE,Liquidation,1,consistent,3.1,Unknown,train
651204,VISERION CATERING LIMITED,2022-06-30,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,3.07,Unknown,train
139848,MAHER INSULATION LIMITED,2022-02-28,,Liquidation,1.0,0.75,HIGH,Liquidation,1,consistent,33.07,Extraterritorial Organisations,train
510666,SAOL TRAINING LIMITED,2022-03-31,,Liquidation,1.0,0.5955,MODERATE,Liquidation,1,consistent,10.05,Extraterritorial Organisations,train
511623,MONGAR FOOD SERVICES LIMITED,2022-02-28,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,9.9,Extraterritorial Organisations,train
517961,MONKSTOWN COMMERCIAL INVESTMENTS LIMITED,2022-09-30,2023-09-02,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,10.02,Extraterritorial Organisations,train
520215,SEQFAL (IRELAND) LIMITED,2022-02-28,2023-05-13,Dissolved,1.0,0.9583,CRITICAL,Dissolved,1,consistent,9.28,Extraterritorial Organisations,train
521014,CLOUD EDUCATION SOLUTIONS LIMITED,2022-05-28,2024-04-02,Dissolved,1.0,0.75,HIGH,Dissolved,1,consistent,9.48,Extraterritorial Organisations,train
524225,CAVE CONNECTIONS LIMITED,2022-04-30,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,9.19,Extraterritorial Organisations,train
524880,KALE AIRCRAFT LEASING (IRELAND) LIMITED,2022-02-28,,Dissolved PostMerger,1.0,0.9674,CRITICAL,Dissolved PostMerger,1,consistent,8.98,Extraterritorial Organisations,train
524896,FAIRDEAL AUTOS LIMITED,2022-04-30,2024-04-15,Dissolved,1.0,0.7209,HIGH,Dissolved,1,consistent,9.14,Extraterritorial Organisations,train
528442,A & M SCALLAN LIMITED,2022-08-31,,Liquidation,1.0,0.9167,CRITICAL,Liquidation,1,consistent,9.24,Extraterritorial Organisations,train
530171,BELO&SCOTCH LIMITED,2022-12-31,2024-03-11,Dissolved,1.0,0.9583,CRITICAL,Dissolved,1,consistent,9.47,Extraterritorial Organisations,train
530401,GLOAMING LIMITED,2022-12-31,2024-06-17,Dissolved,1.0,0.9583,CRITICAL,Dissolved,1,consistent,9.45,Extraterritorial Organisations,train
705912,DIANOMI INVESTORS GP  LIMITED,2022-12-31,2024-09-09,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,1.22,Unknown,train
411259,TUBBER INVESTMENTS UNLIMITED COMPANY,2022-12-31,2024-08-28,Dissolved,1.0,0.9747,CRITICAL,Dissolved,1,consistent,17.1,Extraterritorial Organisations,train
419023,SEALIGHT INTERNATIONAL LIMITED,2022-12-31,2024-06-17,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,16.68,Extraterritorial Organisations,train
430741,THETA CHEMICALS LIMITED,2022-06-30,,Liquidation,1.0,0.8788,CRITICAL,Liquidation,1,consistent,15.58,Extraterritorial Organisations,train
433212,QUICK QUOTES LIMITED,2022-12-31,,Dissolved PostMerger,1.0,0.9747,CRITICAL,Dissolved PostMerger,1,consistent,15.95,Extraterritorial Organisations,train
439182,BRENDAN LOFTUS PHARMACY LIMITED,2022-06-30,2023-09-02,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,15.16,Extraterritorial Organisations,train
455030,JM TECHNICAL DESIGN SERVICES LIMITED,2022-08-31,,Liquidation,1.0,0.8788,CRITICAL,Liquidation,1,consistent,14.45,Extraterritorial Organisations,train
455776,CIREF PREMIUM LIMITED,2022-12-31,2023-12-27,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,14.73,Extraterritorial Organisations,train
459154,FERN GREEN ECO PRODUCTS LIMITED,2022-05-31,2023-10-07,Dissolved,1.0,0.7209,HIGH,Dissolved,1,consistent,13.93,Extraterritorial Organisations,train
464602,BPI VEGETABLES LIMITED,2022-12-31,2024-11-04,Dissolved,1.0,0.9674,CRITICAL,Dissolved,1,consistent,14.1,Extraterritorial Organisations,train
466636,BNI REGION SOUTH & WEST LIMITED,2022-12-31,2024-10-12,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,13.94,Extraterritorial Organisations,train
466779,CAFE LE MONDE LIMITED,2022-01-31,,Liquidation,1.0,0.9747,CRITICAL,Liquidation,1,consistent,13.01,Extraterritorial Organisations,train
472472,TRIPLE EIGHT AIRCRAFT HOLDINGS LIMITED,2022-12-31,,Dissolved PostMerger,1.0,0.9747,CRITICAL,Dissolved PostMerger,1,consistent,13.51,Extraterritorial Organisations,train
654902,LET'S MAKE IT HAPPEN (MALAWI SCHOOL BUILDING PROJECT) COMPANY LIMITED BY GUARANTEE,2022-12-31,2023-07-22,Dissolved,1.0,0.9167,CRITICAL,Dissolved,1,consistent,3.39,Unknown,train
655003,ELLIEANN LIMITED,2022-02-28,2023-11-11,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,2.55,Unknown,train
663097,WJP - WUITE JAMESON PARTNERS LIMITED,2022-12-31,2024-12-23,Dissolved,1.0,0.4593,MODERATE,Dissolved,1,consistent,3.04,Unknown,train
666659,TUPI COM LIMITED,2022-02-28,2023-05-20,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,2.03,Unknown,train
668577,BLAZAR CLOUD LIMITED,2022-02-28,,Liquidation,1.0,0.7231,HIGH,Liquidation,1,consistent,1.95,Unknown,train
671864,FIRST GEAR FINANCE LIMITED,2022-06-30,2024-02-26,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,2.06,Unknown,train
685843,MARBLE HILL FINANCE ISSUER DESIGNATED ACTIVITY COMPANY,2022-12-31,,Liquidation,1.0,0.9583,CRITICAL,Liquidation,1,consistent,1.96,Unknown,train
676585,DIGITAL CAPITAL MANAGEMENT IRELAND LIMITED,2022-02-27,2024-01-15,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,1.5,Unknown,train
676645,OMF MASTERMIND LIMITED,2022-02-28,,Liquidation,1.0,0.7209,HIGH,Liquidation,1,consistent,1.5,Unknown,train
683879,MARKVILLE LIMITED,2022-12-31,2024-12-30,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,2.08,Unknown,train
684323,ALPHAS MANAGED ACCOUNTS PLATFORM CIII LIMITED,2022-12-31,,Liquidation,1.0,1.0,CRITICAL,Liquidation,1,consistent,2.06,Unknown,train
684457,WILDSTEAD LIMITED,2022-07-31,,Dissolved PostMerger,1.0,0.8566,CRITICAL,Dissolved PostMerger,1,consistent,1.64,Unknown,train
685600,RDTC CONSULTING  LIMITED,2022-06-30,2023-05-06,Dissolved,1.0,1.0,CRITICAL,Dissolved,1,consistent,1.46,Unknown,train
153396,H.P. FINANCIAL SERVICES LIMITED,2022-12-31,2024-09-24,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,32.97,Extraterritorial Organisations,train
169014,SQUARE SYSTEMS LIMITED,2022-04-30,,Liquidation,1.0,0.9583,CRITICAL,Liquidation,1,consistent,31.27,Extraterritorial Organisations,train
186045,B J N CONSTRUCTION LIMITED,2022-04-30,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,30.11,Extraterritorial Organisations,train
491474,ARDCO CONSTRUCTION LIMITED,2022-12-31,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,12.13,Extraterritorial Organisations,train
501754,BE BETTER SERVICES LIMITED,2022-06-30,2024-05-13,Dissolved,1.0,0.5955,MODERATE,Dissolved,1,consistent,10.92,Extraterritorial Organisations,train
502462,KATIE MAC LIMITED,2022-12-31,2023-08-19,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,11.37,Extraterritorial Organisations,train
081263,ANIMAL CARE CENTRE (LOUGHREA) LIMITED,2022-04-30,,Liquidation,1.0,0.5365,MODERATE,Liquidation,1,consistent,41.17,Extraterritorial Organisations,train
083547,MORMUR LIMITED,2022-07-31,,Liquidation,1.0,0.4593,MODERATE,Liquidation,1,consistent,41.08,Extraterritorial Organisations,train
094477,J.G. CROWLEY PHARMACY LIMITED,2022-03-31,,Dissolved PostMerger,1.0,0.5955,MODERATE,Dissolved PostMerger,1,consistent,38.91,Extraterritorial Organisations,train
351333,T H S D UNLIMITED COMPANY,2022-12-31,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,21.05,Extraterritorial Organisations,train
343757,KGL SOFTWARE LIMITED,2022-12-31,,Liquidation,1.0,0.9167,CRITICAL,Liquidation,1,consistent,21.59,Extraterritorial Organisations,train
559982,CASTLETROY GENERAL PARTNER LIMITED,2022-07-31,2024-02-12,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,7.31,Extraterritorial Organisations,train
561930,RIDGEPARK MANAGEMENT LIMITED,2022-12-31,2024-10-31,Dissolved,1.0,0.9167,CRITICAL,Dissolved,1,consistent,7.62,Extraterritorial Organisations,train
563588,ALTOMI GROUP LIMITED,2022-12-31,2024-06-05,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,7.52,Unknown,train
564752,NELGARA STEEL BUILDINGS LIMITED,2022-06-30,,Liquidation,1.0,0.9583,CRITICAL,Liquidation,1,consistent,6.97,Unknown,train
571631,PRIOCON DEVELOPMENT LIMITED,2022-12-31,2024-09-24,Dissolved,1.0,0.5365,MODERATE,Dissolved,1,consistent,7.14,Unknown,train
572061,STROLL LIMITED,2022-12-31,2024-03-11,Dissolved,1.0,0.9583,CRITICAL,Dissolved,1,consistent,7.12,Unknown,train
572280,WISDOM PEAK LIMITED,2022-04-30,2023-08-05,Dissolved,1.0,0.9674,CRITICAL,Dissolved,1,consistent,6.43,Unknown,train
573668,ROCDON LIMITED,2022-11-30,2024-02-26,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,6.96,Unknown,train
578931,TROPOCOM LIMITED,2022-06-28,2023-12-11,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,6.29,Unknown,train
579387,BIRCHQUAY FINANCE LIMITED,2022-06-30,2023-10-21,Dissolved,1.0,0.9583,CRITICAL,Dissolved,1,consistent,6.27,Unknown,train
314413,M. & K. FIRE DEFENCE LIMITED,2022-10-31,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,23.0,Extraterritorial Organisations,train
325091,SPRINGTIME TAVERNS LIMITED,2022-05-31,,Liquidation,1.0,0.7231,HIGH,Liquidation,1,consistent,22.15,Extraterritorial Organisations,train
329229,CASTLEKENNY HOMES LIMITED,2022-12-31,,Liquidation,1.0,0.9167,CRITICAL,Liquidation,1,consistent,22.52,Extraterritorial Organisations,train
584223,BLUE DIAMOND DRAMA ACADEMY COMPANY LIMITED BY GUARANTEE,2022-07-31,,Liquidation,1.0,0.5955,MODERATE,Liquidation,1,consistent,6.13,Unknown,train
590827,CAMARC DEVELOPMENTS LIMITED,2022-10-31,2024-09-16,Dissolved,1.0,0.5111,MODERATE,Dissolved,1,consistent,6.06,Unknown,train
594086,MCGCO LIMITED,2022-12-31,,Liquidation,1.0,0.9583,CRITICAL,Liquidation,1,consistent,6.07,Unknown,train
597828,HECTOR'S ROBOT LIMITED,2022-03-31,2023-06-17,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,5.14,Unknown,train
599317,IMPRIMO LIMITED,2022-02-28,2023-11-29,Dissolved,1.0,0.7231,HIGH,Dissolved,1,consistent,5.01,Unknown,train
601456,EASTERN SUPREME FOODS COMPANY LIMITED,2022-03-31,2024-01-08,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,5.0,Unknown,train
604073,EITHNE O'NEILL LIMITED,2022-08-31,2024-03-27,Dissolved,1.0,0.7231,HIGH,Dissolved,1,consistent,5.31,Unknown,train
604156,ISARI TEORANTA,2022-06-30,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,5.13,Unknown,train
605196,UNITED RETAIL TRADING LIMITED,2022-12-31,,Liquidation,1.0,0.9583,CRITICAL,Liquidation,1,consistent,5.59,Unknown,train
608356,PRIME AFFECT RESEARCH LIMITED,2022-06-30,2023-10-14,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,4.94,Unknown,train
611083,EDDIE COUGHLAN CARS LIMITED,2022-08-31,2024-02-26,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,4.98,Unknown,train
612003,SHORTT MEDIA LIMITED,2022-09-30,2023-09-02,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,5.03,Unknown,train
377681,WEIGHT LOSS NETWORK LIMITED,2022-12-31,2024-10-07,Dissolved,1.0,0.9583,CRITICAL,Dissolved,1,consistent,19.16,Extraterritorial Organisations,train
390657,MC NAMARA LIFE & PENSIONS LIMITED,2022-11-30,2024-10-29,Dissolved,1.0,0.9167,CRITICAL,Dissolved,1,consistent,18.23,Extraterritorial Organisations,train
391167,EQUIENDO LIMITED,2022-12-31,,Liquidation,1.0,0.9747,CRITICAL,Liquidation,1,consistent,18.28,Extraterritorial Organisations,train
394494,DEOCA LIMITED,2022-12-31,2023-06-03,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,18.08,Extraterritorial Organisations,train
396347,FS SUB HOLDINGS LIMITED,2022-12-31,2024-09-16,Dissolved,1.0,0.9583,CRITICAL,Dissolved,1,consistent,17.96,Extraterritorial Organisations,train
617693,KNAPTON TRAINING LIMITED,2022-12-31,2024-04-08,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,5.03,Unknown,train
619389,NARIN AND PORTNOO GOLF CLUB COMPANY LIMITED BY GUARANTEE,2022-12-31,2023-11-29,Dissolved,1.0,0.8566,CRITICAL,Dissolved,1,consistent,4.93,Unknown,train
635441,BEEGEES ISSUER DESIGNATED ACTIVITY COMPANY,2022-12-31,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,4.23,Unknown,train
620874,HORNBEAM TECHNOLOGIES LIMITED,2022-07-31,2024-01-31,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,4.46,Unknown,train
622328,TARAGLADE LIMITED,2022-12-31,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,4.82,Unknown,train
626278,COURTNEY TRANSPORT LIMITED,2022-12-31,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,4.65,Unknown,train
634497,FAIRFAX ESTATES LIMITED,2022-03-31,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,3.52,Unknown,train
637978,MODULR FINANCE EUROPE LIMITED,2022-12-31,2024-10-21,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,4.11,Unknown,train
643673,DYNAM AVIATION IRELAND ONE LIMITED,2022-03-31,,Dissolved PostMerger,1.0,0.9674,CRITICAL,Dissolved PostMerger,1,consistent,3.12,Unknown,train
647132,WACONS LIMITED,2022-09-30,2023-09-23,Dissolved,1.0,0.9674,CRITICAL,Dissolved,1,consistent,3.5,Unknown,train
650340,GORILLA MEDIA LIMITED,2022-06-30,2023-05-13,Dissolved,1.0,0.9747,CRITICAL,Dissolved,1,consistent,3.11,Unknown,train
250213,SUNNYSIDE FRUIT LIMITED,2022-08-31,,Liquidation,1.0,0.8566,CRITICAL,Liquidation,1,consistent,26.22,Extraterritorial Organisations,train
446532,QUINN ENERGY SUPPLY LIMITED,2022-12-31,,Liquidation,1.0,0.9747,CRITICAL,Liquidation,1,consistent,15.28,Extraterritorial Organisations,train
460271,SHOOTING STARS PRESCHOOL COMPANY LIMITED BY GUARANTEE,2022-08-31,2023-05-13,Dissolved,1.0,0.9167,CRITICAL,Dissolved,1,consistent,14.11,Extraterritorial Organisations,train
459117,ITCOMSEC LIMITED,2022-03-31,2024-01-08,Dissolved,1.0,0.9583,CRITICAL,Dissolved,1,consistent,13.77,Extraterritorial Organisations,train
461268,DESLEND LIMITED,2022-08-31,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,14.03,Extraterritorial Organisations,train
470869,ULTRA REACH & CLEAN LIMITED,2022-09-30,2024-07-22,Dissolved,1.0,0.8788,CRITICAL,Dissolved,1,consistent,13.38,Extraterritorial Organisations,train
283515,LINK BUILDING CONTRACTORS LIMITED,2022-06-30,,Liquidation,1.0,0.9674,CRITICAL,Liquidation,1,consistent,24.23,Extraterritorial Organisations,train
